Date_T0,Code,Name,Price_T0,Date_T1,Price_T1,Return_Pct,AI_Reason
2026-03-08,300750,宁德时代,354.77,2026-03-08,354.77,0.0,[🩸 日线优良+红盘防守] 创业板指风向标，降息周期下核心成长资产的首选。虽然得分稍低，但作为流动性最强的定海神针，是确保撤退安全的底牌。
2026-03-08,600989,宝丰能源,28.63,2026-03-08,28.63,0.0,[🩸 日线优良+红盘防守] 池内涨幅第一（5.3%），具备最强动能惯性。宏观逻辑支撑能源板块，作为行业龙头，在数据缺失时是资金抱团的首选。
2026-03-08,300468,四方精创,37.06,2026-03-08,37.06,0.0,[🩸 日线优良+红盘防守] 创业板高弹性标的，涨幅居前。金融科技属性在降息周期下极具进攻性，300系列适合超短线隔夜套利博取高溢价。
2026-03-08,600309,万华化学,93.0,2026-03-08,93.0,0.0,[🩸 日线优良+红盘防守] 化工行业绝对核心资产，得分70。今日放量上涨站稳均线，作为机构与游资共振标的，次日具备极强的流动性保障。
2026-03-08,601669,中国电建,5.96,2026-03-08,5.96,0.0,[🩸 日线优良+红盘防守] 低价股具备广泛群众基础，得分70。基建+能源双属性，在宏观利好刺激下，5元价位筹码牢固，适合作为防御性套利品种。
2026-03-08,300750,宁德时代,354.77,2026-03-08,354.77,0.0,[🩸 日线优良+红盘防守] 创业板定海神针。虽然今日涨幅偏小，但在降息逻辑下，它是承接外资与大资金回归的核心桶，是确保次日能随时撤退的终极底牌。
2026-03-08,600885,宏发股份,33.03,2026-03-09,32.09,-2.85,[🩸 日线优良+红盘防守] 池内涨幅第一（4.26%），具备最强动能惯性。在数据异常时，最强标的是唯一的避风港，预期次日高开溢价。
2026-03-08,600426,华鲁恒升,40.9,2026-03-09,41.28,0.93,[🩸 日线优良+红盘防守] 涨幅紧随其后（4.15%），化工行业核心标的。受宏观能源逻辑支撑，资金介入程度深，次日具备流动性撤退空间。
2026-03-08,601216,君正集团,6.33,2026-03-09,6.41,1.26,[🩸 日线优良+红盘防守] 中价位标的，涨幅3.94%表现稳健。日线形态处于加速区，尾盘虽解析异常，但红盘强度足以支撑隔夜情绪。
2026-03-08,603077,和邦生物,2.9,2026-03-09,2.86,-1.38,[🩸 日线优良+红盘防守] 低价股代表，具备极强的群众基础和流动性。3.94%的涨幅配合低价优势，极易在早盘触发散户接力冲高。
2026-03-08,300827,上能电气,38.83,2026-03-09,40.2,3.53,[🩸 日线优良+红盘防守] 创业板高弹性标的，虽然涨幅在池内垫底，但其20CM的属性在情绪转暖时具备最强的反弹爆发力，适合作为进攻侧翼。
2026-03-09,600674,川投能源,15.97,2026-03-09,15.88,-0.56,[🎯 完美形态+尾盘爆买] 系统物理防线生成。综合得分: 90，尾盘状态: 极度抢筹 (28.5%)。
2026-03-09,600312,平高电气,25.02,2026-03-09,25.03,0.04,[🎯 完美形态+尾盘爆买] 系统物理防线生成。综合得分: 75，尾盘状态: 极度抢筹 (23.5%)。
2026-03-09,600186,莲花控股,6.52,2026-03-09,6.6,1.23,[🛡️ 稳健多头+资金流入] 系统物理防线生成。综合得分: 75，尾盘状态: 温和流入 (15.4%)。
2026-03-09,600131,国网信通,22.35,2026-03-09,22.4,0.22,[🩸 日线优良+红盘防守] 系统物理防线生成。综合得分: 70，尾盘状态: 解析异常。
2026-03-09,300427,红相股份,15.78,2026-03-09,15.85,0.44,[🩸 日线优良+红盘防守] 系统物理防线生成。综合得分: 70，尾盘状态: 解析异常。
2026-03-09,300900,广联航空,40.6,2026-03-09,40.44,-0.39,[🩸 日线优良+红盘防守] 当日备选池涨幅冠军，创业板弹性标的。在数据解析异常时，最强动能即是唯一的安全感，博取次日惯性冲高。
2026-03-09,930,中粮科技,7.34,2026-03-09,7.54,2.72,[🩸 日线优良+红盘防守] 涨幅紧随其后，日线形态呈现多头排列，且属于农业/生物质能题材，具备宏观逻辑支撑，尾盘动能维持良好。
2026-03-09,600732,爱旭股份,15.47,2026-03-09,15.29,-1.16,[🩸 日线优良+红盘防守] 光伏赛道超跌反弹先锋，虽然尾盘无异动，但2.58%的涨幅在池中属于强势梯队，筹码结构经历长期出清，反弹阻力小。
2026-03-09,600930,华电新能,6.07,2026-03-09,6.16,1.48,[🩸 日线优良+红盘防守] 虽涨幅略逊，但作为新能核心标的，受降息宏观利好直接驱动，日线形态稳健，适合作为动能套利的辅助配置。
2026-03-09,301171,易点天下,51.78,2026-03-09,51.8,0.04,[🛡️ 稳健多头+资金流入] 创业板AI应用题材，虽然今日涨幅垫底，但尾盘有14.4%的温和流入，显示有资金在博弈次日AI板块的修复反包。
2026-03-09,2451,摩恩电气,11.57,2026-03-10,11.31,-2.25,[🎯 完美契合+尾盘抢跑] 池内涨幅第一（4.8%）逼近量化上限，尾盘抢筹21.6%动能极强，符合‘最强标的博取流动性溢价’铁律。
2026-03-09,300448,浩云科技,11.46,2026-03-10,11.28,-1.57,[🎯 完美契合+尾盘抢跑] 创业板高弹性标的，尾盘抢筹比例（26.1%）位居全池第一，资金博弈次日高开意图极度明显，具备极强惯性。
2026-03-09,300286,安科瑞,33.28,2026-03-10,33.41,0.39,[🎯 完美契合+尾盘抢跑] 涨幅3.97%配合温和放量，属于创业板智能电网核心，形态呈现标准多头排列，次日冲高概率极大。
2026-03-09,603507,振江股份,34.09,2026-03-10,33.54,-1.61,[🎯 完美契合+尾盘抢跑] 风电设备逻辑契合宏观能源背景，3.87%涨幅处于套利黄金区间，尾盘流入稳定，具备主板溢价稳定性。
2026-03-09,600505,西昌电力,15.73,2026-03-10,15.42,-1.97,[🎯 完美契合+尾盘抢跑] 电力板块辨识度标的，虽然涨幅稍逊，但属于典型的‘无大高开’潜伏形态，尾盘流入14%确保了次日安全垫。
2026-03-10,1331,胜通能源,56.76,2026-03-10,56.28,-0.85,[🎯 图文100%契合] 池内涨幅第一（4.92%），最接近涨停动能。结合能源宏观利好，具备最强的隔夜溢价惯性和流动性保障。
2026-03-10,300709,精研科技,44.6,2026-03-10,45.05,1.01,[🎯 图文100%契合] 创业板高弹性标的，涨幅4.15%位居第二。多头放量明显，属于典型的资金尾盘抢筹形态，次日冲高概率极大。
2026-03-10,1212,中旗新材,54.79,2026-03-10,55.36,1.04,[🎯 图文100%契合] 多头形态坚固，2.82%涨幅配合温和放量，属于稳健的趋势加速点，适合作为动能接力的二梯队核心。
2026-03-10,300016,北陆药业,11.2,2026-03-10,11.14,-0.54,[🎯 图文100%契合] 创业板低价标的，具备极高的散户博弈人气。2.37%涨幅虽不高，但尾盘放量显示有避险资金流入，博取次日早盘脉冲。
2026-03-10,2235,安妮股份,11.07,2026-03-10,11.08,0.09,[🎯 图文100%契合] 老牌人气妖股，11元附近具备极强心理支撑。2.03%涨幅虽垫底，但其股性活跃，一旦大盘回暖极易产生超预期溢价。
2026-03-10,300962,中金辐照,19.15,2026-03-10,19.06,-0.47,[🎯 完美契合+尾盘抢跑] 池内涨幅第一（4.75%）且尾盘极度抢筹（34.9%），典型动能爆发形态，创业板弹性极高，隔夜溢价预期最强。
2026-03-10,603936,博敏电子,14.0,2026-03-10,14.02,0.14,[🎯 图文100%契合] 主板多头放量标的，涨幅4.47%紧随其后，形态呈现标准攻击姿态，无大高开压力，次日冲高惯性极强。
2026-03-10,300489,光智科技,46.47,2026-03-10,46.45,-0.04,[🎯 完美契合+尾盘抢跑] 创业板高价弹性标的，涨幅接近4%且尾盘流入稳健，符合‘动能不衰’铁律，适合作为套利组合的弹性补充。
2026-03-10,1216,华瓷股份,21.47,2026-03-10,21.78,1.44,[🎯 完美契合+尾盘抢跑] 小盘次新属性，涨幅3.65%处于量化舒适区，尾盘温和流入确保了筹码稳定性，具备较强的分时冲高潜力。
2026-03-10,2638,勤上股份,3.75,2026-03-10,3.77,0.53,[🎯 完美契合+尾盘抢跑] 低价股代表，涨幅3.61%且尾盘流入比例15.3%，在当前市场环境下易吸引跟风盘，利用低价优势博取流动性溢价。
2026-03-10,300279,和晶科技,10.79,2026-03-10,10.79,0.0,[🎯 完美契合+尾盘抢跑] 涨幅4.96%位居池内第一，极度逼近量化红线上限，展现出极强的进攻欲望。创业板高弹性配合温和流入，是明日早盘溢价的首选‘急先锋’。
2026-03-10,603936,博敏电子,14.02,2026-03-10,14.02,0.0,[🎯 完美契合+尾盘抢跑] 主板多头放量标杆，4.55%的涨幅配合17.4%的尾盘流入，显示主力资金在收盘前加速入场，具备极强的隔夜惯性，预期早盘有快速冲高动作。
2026-03-10,300963,中洲特材,21.25,2026-03-10,21.25,0.0,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例高达19.2%，为全池最高！这种极度抢筹行为通常预示着次日早盘的暴力拉升，虽当日涨幅略低，但资金净流入强度足以支撑溢价。
2026-03-10,300099,尤洛卡,9.72,2026-03-10,9.72,0.0,[🎯 完美契合+尾盘抢跑] 典型的多头放量形态，3.51%的涨幅处于套利黄金区间。低价股属性易吸引散户接盘，尾盘资金流入稳定，适合作为流动性撤退的备选。
2026-03-10,2235,安妮股份,11.09,2026-03-10,11.09,0.0,[🎯 完美契合+尾盘抢跑] 老牌人气妖股，具备极高的市场辨识度。在2.5%的温和涨幅下配合15.1%的尾盘流入，属于典型的‘潜伏型’抢筹，博取次日人气修复带来的溢价。
2026-03-10,300279,和晶科技,10.79,2026-03-11,10.95,1.48,[🎯 完美契合+尾盘抢跑] 池内涨幅第一（4.96%），最接近5%铁律上限，动能惯性最强，创业板高弹性利于次日溢价兑现。
2026-03-10,603936,博敏电子,14.02,2026-03-11,15.42,9.99,[🎯 完美契合+尾盘抢跑] 主板多头放量标杆，涨幅4.55%位居次席，量价配合极佳，属于典型的多头加速形态，溢价确定性高。
2026-03-10,300963,中洲特材,21.25,2026-03-11,20.91,-1.6,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例（19.2%）全池最高，资金介入深度极强，典型的‘偷袭’形态，次日早盘高开预期强烈。
2026-03-10,300099,尤洛卡,9.72,2026-03-11,9.58,-1.44,[🎯 完美契合+尾盘抢跑] 涨幅3.51%符合多头放量标准，受能源行业宏观逻辑支撑，形态稳健，具备较强的抗风险动能。
2026-03-10,2235,安妮股份,11.09,2026-03-11,11.2,0.99,[🎯 完美契合+尾盘抢跑] 老牌人气妖股，虽然涨幅略低，但尾盘温和流入，利用其高辨识度在情绪回暖时博取超额流动性溢价。
2026-03-11,603716,塞力医疗,24.8,2026-03-11,24.29,-2.06,[🎯 完美契合+尾盘抢跑] 全池‘双冠王’：涨幅4.77%最接近上限，尾盘抢筹27.8%全场第一。极端动能暗示次日高开溢价极强。
2026-03-11,603123,翠微股份,13.74,2026-03-11,13.65,-0.66,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例高达21.5%，资金介入深度极高。作为老牌人气标的，具备极强的流动性惯性和反弹弹性。
2026-03-11,2805,丰元股份,18.59,2026-03-11,18.3,-1.56,[🎯 完美契合+尾盘抢跑] 涨幅4.44%位居次席，多头放量明显。受降息利好锂电赛道逻辑支撑，形态上属于典型的趋势加速起步。
2026-03-11,300712,永福股份,32.35,2026-03-11,32.68,1.02,[🎯 完美契合+尾盘抢跑] 创业板高弹性标的，尾盘抢筹比例23.1%位居全池第二，暗示主力急于拿筹，次日冲高动能充沛。
2026-03-11,603105,芯能科技,10.97,2026-03-11,10.95,-0.18,[🎯 完美契合+尾盘抢跑] 能源赛道核心，温和流入且形态稳健。符合宏观降息利好逻辑，作为池内低位补涨标的，具备较好防御性。
2026-03-11,2379,宏桥控股,31.32,2026-03-12,32.37,3.35,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.23%），最接近5%铁律上限，具备最强的动能惯性，尾盘17%流入显示资金抢筹意愿强烈。
2026-03-11,2128,电投能源,32.77,2026-03-12,33.33,1.71,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例全池最高（18.9%），配合降息利好能源板块的宏观逻辑，属于典型的资金深度介入标的，溢价概率极高。
2026-03-11,601991,大唐发电,4.16,2026-03-12,4.58,10.1,[🎯 完美契合+尾盘抢跑] 低价股具备极高的群众基础，2.46%涨幅配合温和放量，属于稳健的多头进攻形态，适合博取次日早盘的流动性冲高。
2026-03-11,2579,中京电子,12.55,2026-03-12,12.45,-0.8,[🎯 完美契合+尾盘抢跑] 科技赛道中的多头放量品种，尾盘流入16.2%显示有短线热钱潜伏，形态上无大高开压力，次日反包冲高预期强。
2026-03-11,912,泸天化,5.65,2026-03-12,5.62,-0.53,[🎯 完美契合+尾盘抢跑] 能源化工属性契合当前宏观热点，股价处于多头放量初期，2.35%的涨幅提供了较好的盈亏比空间，尾盘流入稳定。
2026-03-12,300468,四方精创,38.03,2026-03-12,38.35,0.84,[🎯 图文100%契合] 全池涨幅第一（4.69%），最接近5%量化上限。金融科技叠加创业板高弹性，尾盘多头放量明显，属于典型的‘动能双冠王’，次日溢价预期最高。
2026-03-12,300773,拉卡拉,29.95,2026-03-12,29.52,-1.44,[🎯 图文100%契合] 涨幅4.07%位居次席，同属金融科技板块，与四方精创形成板块共振。多头形态坚固，成交量配合良好，具备极强的惯性冲高动能。
2026-03-12,603601,再升科技,12.8,2026-03-12,12.48,-2.5,[🎯 图文100%契合] 主板备选标的中涨幅最强，2.81%的涨幅虽不惊人，但日线级别呈现多头排列，且属于低价股，具备较好的群众基础和离场流动性。
2026-03-12,2025,航天电器,58.14,2026-03-12,59.96,3.13,[🎯 图文100%契合] 军工科技核心标的，2.32%涨幅配合多头放量。在宏观环境不确定时，军工板块往往具备独立走势，作为池内中价位标的，其筹码结构相对稳定。
2026-03-12,300113,顺网科技,29.86,2026-03-12,29.69,-0.57,[🎯 图文100%契合] AI+游戏题材，创业板弹性标的。虽然涨幅2.26%处于池内末尾，但其题材契合当前市场热点，尾盘多头放量预示有资金博取次日反包。
2026-03-12,601218,吉鑫科技,6.31,2026-03-12,6.31,0.0,[🎯 完美契合+尾盘抢跑] 满足图文四大铁律。综合得分: 120，尾盘状态: 温和流入 (14.1%)。
2026-03-12,600023,浙能电力,5.65,2026-03-12,5.65,0.0,[🎯 完美契合+尾盘抢跑] 满足图文四大铁律。综合得分: 120，尾盘状态: 极度抢筹 (18.6%)。
2026-03-12,966,长源电力,5.17,2026-03-12,5.17,0.0,[🎯 完美契合+尾盘抢跑] 满足图文四大铁律。综合得分: 120，尾盘状态: 温和流入 (13.0%)。
2026-03-12,600475,华光环能,22.37,2026-03-12,22.37,0.0,[🎯 完美契合+尾盘抢跑] 满足图文四大铁律。综合得分: 120，尾盘状态: 温和流入 (13.2%)。
2026-03-12,2607,中公教育,2.9,2026-03-12,2.9,0.0,[🎯 完美契合+尾盘抢跑] 满足图文四大铁律。综合得分: 120，尾盘状态: 温和流入 (15.0%)。
2026-03-12,601218,吉鑫科技,6.31,2026-03-12,6.31,0.0,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.64%），最接近5%量化上限，动能惯性最强，温和流入确保了次日高开的确定性。
2026-03-12,600023,浙能电力,5.65,2026-03-12,5.65,0.0,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例高达18.6%，位居全池第一，资金暴力扫货预示明日早盘必有溢价冲高，属于极致抢筹标的。
2026-03-12,966,长源电力,5.17,2026-03-12,5.17,0.0,[🎯 完美契合+尾盘抢跑] 涨幅3.4%配合电力板块集体爆发，低价属性具备极高弹性，多头放量形态坚固，适合隔夜套利博弈。
2026-03-12,2607,中公教育,2.9,2026-03-12,2.9,0.0,[🎯 完美契合+尾盘抢跑] 2元档极低价标的，尾盘15%抢筹显示资金活跃度极高，在当前缩容市场中，低价股更易获得超额溢价。
2026-03-12,600475,华光环能,22.37,2026-03-12,22.37,0.0,[🎯 完美契合+尾盘抢跑] 多头形态完美，虽涨幅略逊但属于稳健放量品种，作为电力板块的补涨梯队，具备稳定的隔夜套利空间。
2026-03-12,601218,吉鑫科技,6.31,2026-03-13,6.45,2.22,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.64%），最接近5%量化上限，具备最强的动能惯性。尾盘温和流入确保了次日高开的确定性，是典型的套利领头羊。
2026-03-12,600023,浙能电力,5.65,2026-03-13,5.6,-0.88,[🎯 完美契合+尾盘抢跑] 全池‘抢筹王’，尾盘流入比例高达18.6%，显示大资金在收盘前疯狂扫货。虽然当日涨幅不高，但极度的资金偏好预示明日有强力补涨冲动。
2026-03-12,966,长源电力,5.17,2026-03-13,4.99,-3.48,[🎯 完美契合+尾盘抢跑] 涨幅（3.4%）与尾盘流入（13%）匹配度极高，5元档低价股具备极强的群众基础，在能源板块异动时极易获得超额溢价。
2026-03-12,2607,中公教育,2.9,2026-03-13,2.93,1.03,[🎯 完美契合+尾盘抢跑] 2元档极低价标的，尾盘抢筹比例15%位居第二。在市场动能不足时，低价股往往是短线投机资金的避风港，具备极高的弹性预期。
2026-03-12,600475,华光环能,22.37,2026-03-13,21.86,-2.28,[🎯 完美契合+尾盘抢跑] 多头形态坚固，虽然单价较高，但满足量化标准且尾盘流入稳定。作为池内中价位标的代表，可作为动能扩散时的补位选择。
2026-03-13,301137,哈焊华通,60.34,2026-03-13,58.25,-3.46,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.61%），最接近5%铁律上限。创业板高弹性标的，多头放量明显，动能惯性最强，是次日高开溢价的首选品种。
2026-03-13,2019,亿帆医药,14.64,2026-03-13,14.45,-1.3,[🎯 完美契合+尾盘抢跑] 全池‘抢筹王’，尾盘抢筹比例高达37.4%，资金介入极其强悍。涨幅3.31%处于舒适区，量价配合完美，具备极强的隔夜反弹预期。
2026-03-13,300963,中洲特材,21.91,2026-03-13,21.86,-0.23,[🎯 完美契合+尾盘抢跑] 涨幅3.74%配合19.5%的极度抢筹，属于典型的高动能平衡标的。特种材料属性契合当前能源题材热点，次日早盘冲高概率极大。
2026-03-13,600015,华夏银行,7.23,2026-03-13,7.16,-0.97,[🎯 完美契合+尾盘抢跑] 虽然属于权重，但28.3%的尾盘抢筹比例异常显著。在市场动能切换期，此类放量标的常有脉冲表现，作为池内得分120的标的予以保留。
2026-03-13,601800,中国交建,8.48,2026-03-13,8.5,0.24,[🎯 完美契合+尾盘抢跑] 尾盘极度抢筹28.4%，形态上呈现多头排列。尽管涨幅2.54%略靠后，但大资金流入迹象明显，适合作为池内流动性蓄水池观察。
2026-03-13,1338,永顺泰,13.76,2026-03-13,13.76,0.0,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.8%），最接近5%量化上限，主板次新属性具备极强溢价惯性，尾盘流入稳定，是典型的套利首选。
2026-03-13,2255,海陆重工,13.5,2026-03-13,13.5,0.0,[🎯 完美契合+尾盘抢跑] 全池涨幅第二（4.73%），属于主板能源重工板块，契合宏观利好，多头放量形态坚固，次日高开概率极大。
2026-03-13,300962,中金辐照,18.94,2026-03-13,18.94,0.0,[🎯 完美契合+尾盘抢跑] 全池‘抢筹王’，尾盘抢筹比例高达38.5%，数据极端异常，显示有强力资金不计成本拿货，惯性冲高动能极强。
2026-03-13,300400,劲拓股份,23.15,2026-03-13,23.15,0.0,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例23.8%位居全池第二，创业板高弹性品种，在资金极度抢筹背景下，次日早盘具备快速冲高兑现的空间。
2026-03-13,300963,中洲特材,21.86,2026-03-13,21.86,0.0,[🎯 完美契合+尾盘抢跑] 涨幅与抢筹比例均衡，形态维持多头排列，虽近期弹性略减，但作为池内核心标的，仍具备较好的流动性撤退空间。
2026-03-13,1338,永顺泰,13.76,2026-03-16,13.69,-0.51,[🎯 完美契合+尾盘抢跑] 全池涨幅第一（4.80%），最接近5%铁律上限，主板属性具备更强的开盘溢价稳定性，属于典型的动能惯性标的。
2026-03-13,2255,海陆重工,13.5,2026-03-16,13.1,-2.96,[🎯 完美契合+尾盘抢跑] 涨幅4.73%位居次席，且属于受宏观降息利好的能源装备板块，尾盘流入温和，形态上属于多头放量突破，次日惯性冲高概率大。
2026-03-13,300962,中金辐照,18.94,2026-03-16,18.32,-3.27,[🎯 完美契合+尾盘抢跑] 全池‘抢筹王’，尾盘流入比例高达38.5%，极端的资金抢筹行为通常预示次日大幅高开，是博取高弹性的核心首选。
2026-03-13,300400,劲拓股份,23.15,2026-03-16,23.47,1.38,[🎯 完美契合+尾盘抢跑] 尾盘抢筹比例23.8%，位居全池第二，且股价站稳多头均线，创业板属性在情绪修复期易产生超额溢价。
2026-03-13,300963,中洲特材,21.86,2026-03-16,20.9,-4.39,[🎯 完美契合+尾盘抢跑] 涨幅与抢筹比例均衡（3.5%/18.1%），形态上无大高开压力，符合‘多头放量’的量化标准，适合作为组合的弹性补充。
2026-03-16,603083,剑桥科技,117.71,2026-03-19,114.8,-2.47,[缩量回踩] 算力人气妖股，缩量比达69.2%显示浮筹洗净，精准踩在MA10支撑位，具备极强反包基因，动能惯性大。
2026-03-16,600938,中国海油,42.0,2026-03-19,41.53,-1.12,[缩量回踩] 趋势中军，缩量比78%为池内最高，洗盘极度彻底，精准回踩MA10，在降准预期下作为核心资产易获资金抢筹。
2026-03-16,300394,天孚通信,325.0,2026-03-19,308.98,-4.93,[缩量回踩] CPO龙头，近期涨停基因活跃，虽然微破MA10但缩量显著，属于典型的‘挖坑’洗盘，反抽弹性为池内最高。
2026-03-16,601727,上海电气,9.03,2026-03-19,8.56,-5.2,[缩量回踩] 主板高辨识度标的，缩量回踩MA10区域，符合退潮期锁定主板龙头的铁律，尾盘若有抢筹则反包概率极大。
2026-03-16,601179,中国西电,17.65,2026-03-19,17.33,-1.81,[缩量回踩] 特高压龙头，缩量比72.7%洗盘充分，回踩MA10生命线，近期异动明显，属于中特估中股性最活的品种之一。
2026-03-16,600498,烽火通信,51.11,2026-03-19,45.84,-10.31,[缩量回踩低吸] 科技先锋属性，缩量55.6%洗盘彻底，精准回踩均线支撑。具备涨停基因，流动性改善期极易获资金回补。
2026-03-16,2335,科华数据,63.77,2026-03-19,65.41,2.57,[缩量回踩低吸] 算力基建核心，缩量超50%显示浮筹已净。回踩生命线不破，次日早盘具备强劲的技术性反抽动能。
2026-03-16,2378,章源钨业,36.66,2026-03-19,34.45,-6.03,[缩量回踩低吸] 缩量比达78.7%进入极致地量区，情绪冰点往往是反转点。资源类标的在降息预期下具备极高的弹性溢价。
2026-03-16,600938,中国海油,41.21,2026-03-19,41.53,0.78,[缩量回踩低吸] 高股息权重，缩量回踩均线。在震荡市中作为资金避风港，利用其高开惯性博取无风险隔夜收益。
2026-03-16,601857,中国石油,11.99,2026-03-19,12.19,1.67,[缩量回踩低吸] 作为市场压舱石，缩量63.2%显示抛压枯竭。在降准利好预期下，早盘竞价易受大盘指数带动冲高。
2026-03-17,600498,烽火通信,51.11,2026-03-19,45.84,-10.31,[战法C: 强庄首阴] ICT科技先锋，今日-8.49%深幅洗盘但量比仅0.56，呈极端缩量态势，符合‘强庄缩量首阴’。凭借其涨停基因，回踩即是波段低吸良机，博弈3日内的大阳反包。
2026-03-17,600703,三安光电,17.8,2026-03-19,16.57,-6.91,[战法C: 强庄首阴] 半导体权重龙头，经历前期强势上攻后首度大幅回落。-6.97%的跌幅已释放短期风险，量比0.68显示卖盘枯竭。在摩尔线程过会等行业利好刺激下，具备极强的波段修复动能。
